province,district,rural/urban,sexname,total,can read & write,can read only,cant read & write,not stated,literacy rate
bagmati,rasuwa,Total(Urban+Rural),Female,20696,12953,60,7682,1,62.87688442211056
bagmati,rasuwa,Rural,Total(Male+Female),41509,28535,125,12844,5,69.04526729143078
bagmati,rasuwa,Rural,Male,20907,15674,65,5164,4,75.28100636150572
bagmati,rasuwa,Rural,Female,20602,12861,60,7680,1,62.7172119211727
bagmati,rasuwa,Urban,Total(Male+Female),1210,1197,0,13,0,98.92561983471074
bagmati,rasuwa,Urban,Male,1116,1105,0,11,0,99.01433691756273
bagmati,rasuwa,Urban,Female,94,92,0,2,0,97.87234042553192
bagmati,dhading,Total(Urban+Rural),Total(Male+Female),301687,218424,783,82454,26,72.66040631515445
bagmati,dhading,Total(Urban+Rural),Male,146517,116138,341,30026,12,79.49862473296614
bagmati,dhading,Total(Urban+Rural),Female,155170,102286,442,52428,14,66.20351872140233
bagmati,dhading,Rural,Total(Male+Female),217785,154442,521,62799,23,71.15411988888124
bagmati,dhading,Rural,Male,106071,82291,240,23530,10,77.80731774000434
bagmati,dhading,Rural,Female,111714,72151,281,39269,13,64.83699446801654
bagmati,dhading,Urban,Total(Male+Female),83902,63982,262,19655,3,76.570284379395
bagmati,dhading,Urban,Male,40446,33847,101,6496,2,83.93413440142412
bagmati,dhading,Urban,Female,43456,30135,161,13159,1,69.71649484536083
bagmati,nuwakot,Total(Urban+Rural),Total(Male+Female),244383,168798,997,74570,18,69.47905541711167
bagmati,nuwakot,Total(Urban+Rural),Male,119062,91556,449,27047,10,77.2748651962843
bagmati,nuwakot,Total(Urban+Rural),Female,125321,77242,548,47523,8,62.072597569441676
bagmati,nuwakot,Rural,Total(Male+Female),153793,101031,773,51972,17,66.19547053506987
bagmati,nuwakot,Rural,Male,74520,54558,342,19611,9,73.67149758454107
bagmati,nuwakot,Rural,Female,79273,46473,431,32361,8,59.16768634970293
bagmati,nuwakot,Urban,Total(Male+Female),90590,67767,224,22598,1,75.0535379180925
bagmati,nuwakot,Urban,Male,44542,36998,107,7436,1,83.30339903910917
bagmati,nuwakot,Urban,Female,46048,30769,117,15162,0,67.07348853370397
bagmati,kathmandu,Total(Urban+Rural),Total(Male+Female),2746033,2460414,15887,269674,58,90.17739408084317
bagmati,kathmandu,Total(Urban+Rural),Male,1389034,1310443,5661,72895,35,94.74958856298694
bagmati,kathmandu,Total(Urban+Rural),Female,1356999,1149971,10226,196779,23,85.49726270984725
bagmati,kathmandu,Urban,Total(Male+Female),1106315,976930,4307,125020,58,88.69417842115492
bagmati,kathmandu,Urban,Male,558242,523645,1553,33009,35,94.0807033508765
bagmati,kathmandu,Urban,Female,548073,453285,2754,92011,23,83.20771138151305
bagmati,bhaktapur,Total(Urban+Rural),Total(Male+Female),404125,355473,633,48015,4,88.11778533869472
bagmati,bhaktapur,Total(Urban+Rural),Male,203351,191363,222,11765,1,94.21394534573226
bagmati,bhaktapur,Total(Urban+Rural),Female,200774,164110,411,36250,3,81.94337912279478
bagmati,bhaktapur,Urban,Total(Male+Female),404125,355473,633,48015,4,88.11778533869472
bagmati,bhaktapur,Urban,Male,203351,191363,222,11765,1,94.21394534573226
bagmati,bhaktapur,Urban,Female,200774,164110,411,36250,3,81.94337912279478
bagmati,lalitpur,Total(Urban+Rural),Total(Male+Female),800499,710412,1436,88629,22,88.92553269897901
bagmati,lalitpur,Total(Urban+Rural),Male,399581,374926,504,24144,7,93.95591882496916
bagmati,lalitpur,Total(Urban+Rural),Female,400918,335486,932,64485,15,83.91192213869171
bagmati,lalitpur,Urban,Total(Male+Female),215569,188106,378,27081,4,87.4355774717144
bagmati,lalitpur,Urban,Male,109007,101649,159,7198,1,93.3958369645986
bagmati,lalitpur,Urban,Female,106562,86457,219,19883,3,81.33856346540043
